ID,Category,Question,Choice1,Choice2,Choice3,Choice4,Explanation
171,ライフプランニング,キャッシュフロー表で把握しやすい内容として最も適切なのは？,将来の収入と支出の推移から資金残高がどう変化するか,保険商品の予定利率だけ,株式の売買タイミングだけ,相続人の遺留分の割合だけ,キャッシュフロー表は一定期間の収入と支出の見通しを年単位などで整理し各年末の資金残高が増減する様子を可視化する。教育費や住宅費や老後資金など大きな支出イベントを織り込み資金ショートの時期や必要な備えを検討するための土台となる。
172,リスク管理,生命保険の「保険料」は一般にどの要素で決まりやすい？,年齢や性別などの危険度と保険金額や保険期間,加入者の預金残高,株価指数の水準,契約者の住所の郵便番号だけ,保険料は将来の保険金支払い見込みと事業費などを踏まえて算定され危険度が高いほど高くなりやすい。具体的には年齢や性別や健康状態といったリスク要因に加え保険金額が大きいほど保険期間が長いほど負担は増えやすい。預金残高や株価水準は直接の算定要素ではない。
173,金融資産運用,株式投資の配当利回りの説明として正しいのは？,1株当たり配当金を株価で割った割合,1株当たり利益を株価で割った割合,株価の前年差だけで求める割合,配当金を必ず再投資した場合だけ求められる割合,配当利回りは配当金が投資額に対してどの程度の収益になるかを見る指標で一般に「予想配当金÷株価」で表す。利益を用いるのはPERなど別の指標であり株価の値上がり益は配当利回りではなくキャピタルゲインに該当する。配当の再投資は総合リターンの考え方で別途扱う。
174,タックスプランニング,扶養控除の対象となる「控除対象扶養親族」の基本要件として正しいのは？,16歳以上の扶養親族で合計所得金額が一定以下である,16歳未満の子だけが対象である,配偶者のみが対象である,同居していない親は対象外である,扶養控除は一定の所得要件を満たす扶養親族がいる場合に適用されるが年少扶養親族は原則として対象外となるため16歳以上が基本となる。また合計所得金額が一定以下であるなどの要件があり同居か別居かはケースにより異なるが別居でも生計を一にしていれば対象になり得る点が重要である。
175,不動産,借地借家法上の普通借家契約の特徴として正しいのは？,更新が原則で正当事由がなければ賃貸人から解約しにくい,期間満了で必ず終了し更新ができない,賃料増減請求は一切できない,契約書が口頭でも必ず有効で書面不要,普通借家契約は賃借人保護が強く期間満了時に更新が原則となり賃貸人が終了させるには正当事由が必要になる。定期借家契約は期間満了で終了するのが原則であり普通借家と対比して覚えると整理しやすい。賃料の増減請求や契約方式は別の論点で一律ではない。
176,相続,相続放棄の効果として正しいのは？,最初から相続人でなかったものとみなされる,相続財産のうち負債だけを引き継がない,相続財産のうちプラスの財産だけを引き継ぐ,一度放棄しても後で自由に撤回できる,相続放棄が受理されるとその人は初めから相続人ではなかった扱いとなりプラスの財産もマイナスの財産も承継しない。負債だけ回避したり財産だけ取得したりはできずそれをしたい場合は限定承認など別制度を検討する。原則として放棄は慎重に行う必要があり安易に撤回できない。
177,ライフプランニング,老齢基礎年金を受け取るために必要な「受給資格期間」の基本は？,一定期間以上の保険料納付済期間などを合算して満たす,国民年金に加入したことが1日でもあれば満たす,60歳になった時点で自動的に満たす,受給資格期間は働いた年数だけで決まる,老齢基礎年金には受給資格期間があり保険料納付済期間や免除期間など一定の扱いとなる期間を合算して所定の期間以上を満たす必要がある。単に加入しただけでは足りない場合があり年齢到達だけで自動的に満たすものでもない。加入・納付状況の積み上げで決まる点が要点となる。
178,リスク管理,火災保険で一般的に補償対象となりやすいのはどれ？,火災や落雷などによる建物や家財の損害,地震による建物の損害は必ず全額,自動車事故による車の損害,生命保険の死亡保障,火災保険は火災だけでなく落雷や破裂・爆発など契約内容に応じた偶然な事故による建物や家財の損害を補償することが多い。一方地震は火災保険だけでは原則対象外で地震保険などの付帯が必要となるのが一般的であり自動車や死亡保障は別の保険分野である。
179,金融資産運用,外貨預金のリスクとして正しいのは？,為替変動により円換算の元本が増減する,預金保険制度で外貨分も全額保護される,金利は必ず円預金より低い,為替手数料は一切かからない,外貨預金は外貨建てで運用するため円に戻すときの為替レート次第で円換算の元本が増減する為替リスクがある。また売買の都度スプレッドなどの為替手数料が実質的にかかることが多い。預金保険の扱いは円預金と同一視できず商品性の確認が重要で金利水準も通貨や時期で変動する。
180,タックスプランニング,青色申告の主なメリットとして正しいのは？,一定の要件で青色申告特別控除などの適用がある,申告そのものが不要になる,赤字でも必ず税金が発生する,経費は一切計上できなくなる,青色申告は帳簿付けなど一定の要件を満たすことで青色申告特別控除の適用や損失の繰越など税務上の優遇を受けられる可能性がある。申告不要になる制度ではなく正しく申告する前提でメリットが得られる。経費計上ができなくなるのではなく必要経費を適切に記録して申告精度を高めることが求められる。
181,相続,遺言がない場合の法定相続分として正しい組合せは？（配偶者と子が相続人の場合）,配偶者1/2・子全体で1/2（子は等分）,配偶者2/3・子全体で1/3（子は等分）,配偶者3/4・子全体で1/4（子は等分）,配偶者1/3・子全体で2/3（子は等分）,法定相続分は相続人の組合せで決まる。配偶者と子がいる場合は配偶者が2分の1、子全体で2分の1となり、子が複数なら子の取り分はその2分の1を人数で等分する。配偶者と直系尊属、配偶者と兄弟姉妹では割合が異なるため、組合せ別に整理して覚えると混同しにくい。
182,不動産,不動産の登記簿（登記事項証明書）の「権利部（甲区）」に記録される内容として正しいのは？,所有権に関する事項（所有者の移転など）,抵当権に関する事項のみ,建物の構造や床面積などの物理的事項,固定資産税評価額の金額,登記事項証明書は大きく表題部と権利部に分かれ、権利部はさらに甲区と乙区に分かれる。甲区は所有権に関する登記（所有者、売買・相続などによる移転、差押え等）を記録し、乙区は抵当権など所有権以外の権利（担保権等）が中心となる。物理的事項は表題部で扱われ、税額や評価額は登記ではなく課税台帳等の領域となる。
183,金融資産運用,投資信託の「基準価額」の説明として正しいのは？,投資信託の1口（または1万口）当たりの時価を示す指標,投資信託の販売手数料の率そのもの,株式市場全体の代表的指数,必ず購入時より上昇する価格,基準価額は投資信託が保有する資産の時価評価額から負債等を控除した純資産総額を口数で割って算出される「1口当たりの価値」である。日々変動し、分配金が出るとその分だけ基準価額が下がることがあるため「分配がある＝得」とは限らない点も重要である。販売手数料や指数とは概念が異なる。
184,リスク管理,自賠責保険（自動車損害賠償責任保険）について正しいのは？,対人賠償を中心に最低限の補償を行う強制保険,車両の修理費を全額補償する任意保険,対物賠償のみを補償する強制保険,運転者自身のけがのみを補償する保険,自賠責保険は自動車事故の被害者救済を目的とする強制保険で、対人賠償（死亡・後遺障害・傷害）を一定限度まで補償する。対物や自車の損害は対象外であり、補償限度も十分とは言えないため、一般には任意保険で対物・対人の上乗せや車両保険等を組み合わせてリスクを補完する。
185,タックスプランニング,医療費控除の対象となりやすい支出として適切なのは？,通院のための公共交通機関の交通費,美容目的のエステ代,健康増進目的のサプリ代,家族旅行を兼ねた交通費全額,医療費控除は治療に直接必要な支出が対象となりやすく、通院に必要な公共交通機関の交通費は医療費として扱われることがある。一方、美容目的の支出や一般的な健康食品・サプリは治療目的と認められにくい。旅行を兼ねた費用など「治療に必要な部分」と切り分けできない支出は対象外になりやすいため、領収書と目的の整理が実務上のポイントとなる。
186,ライフプランニング,給与明細の「手取り額」が額面より少なくなる主な理由として正しいのは？,社会保険料や所得税・住民税などが控除される,会社が必ず手数料を上乗せしている,手取りは法律で額面の80%と決まっている,残業代はすべて税金で消えるため,給与は支給額（額面）から、健康保険・厚生年金・雇用保険などの社会保険料、所得税（源泉徴収）、住民税（特別徴収）などが差し引かれて手取りになる。控除項目は個人の状況（扶養、住民税の有無、保険料率、賞与月など）で変動し、一定割合で固定されるものではない。どの項目が増減しているかを明細で確認することが家計管理の第一歩となる。
187,相続,遺留分の基本的な考え方として正しいのは？,一定の相続人に最低限保障される取り分で遺言でも侵害され得る,相続人でない友人にも必ず認められる権利,遺言があれば遺留分は一切発生しない,遺留分は相続税の税率を下げる制度である,遺留分は配偶者・子・直系尊属など一定の相続人に保障される最低限の取り分であり、被相続人が遺言や贈与で特定の者へ偏った財産配分をしても、遺留分を侵害された相続人は一定の請求（遺留分侵害額請求）を行える。誰にでも認められるわけではなく、また税率の制度でもない。遺言作成時は遺留分を踏まえた配分設計がトラブル予防につながる。
188,不動産,住宅ローンの「繰上返済」の効果として一般に正しいのは？,元金を前倒しで減らし利息負担を軽減しやすい,必ず金利が自動的に引き下げられる,返済期間は必ず延びる,手数料がある場合でも総利息は必ず増える,繰上返済は元金を早期に減らすため、以後の利息計算の基礎となる残高が小さくなり、総支払利息を抑えやすい。期間短縮型か返済額軽減型かで家計への効き方が異なり、手数料や住宅ローン控除の適用状況、手元資金の流動性（緊急資金の確保）も合わせて判断するのが実務的である。金利が自動で下がるわけではない。
189,金融資産運用,分散投資の目的として最も適切なのは？,特定資産の値動きに偏らないようリスクを抑える,必ず利益を保証する,短期で必ず大きく儲ける,投資対象を1つに絞って効率化する,分散投資は投資先（資産・地域・通貨・時間）を分けることで、ある資産が下落しても他の資産が補完し、価格変動リスク（ブレ）を抑えることを狙う考え方である。リスクを低減し得る一方で、利益を保証するものではなく、分散の程度や相関関係によって効果が変わる。集中投資はリターンが大きくなる可能性がある反面、損失も大きくなり得るため目的に応じて使い分ける。
190,リスク管理,地震による火災（地震火災）への備えとして適切なのは？,火災保険に地震保険を付帯するなど地震リスクへの補償を用意する,火災保険だけで地震による損害はすべて補償される,生命保険だけ加入すれば建物損害も補償される,自賠責保険で家屋の損害が補償される,地震による損害は、通常の火災保険では原則として補償対象外となりやすく、地震保険の付帯など地震リスクに対応した契約が必要となる。地震が原因で起きた火災（地震火災）も同様に扱われるため「火災だから火災保険でOK」と短絡しないことが重要である。建物・家財のどちらを補償するか、保険金額の上限や免責など契約条件を確認して備えを設計する。
191,相続,相続税の申告・納付期限として正しいのはどれ？,被相続人の死亡を知った日の翌日から10か月以内,被相続人の死亡を知った日の翌日から3か月以内,被相続人の死亡を知った日の翌日から1年以内,相続開始日からいつでもよい,相続税は「申告」と「納付」を期限内に行う必要があり、その期限は原則として「被相続人の死亡を知った日の翌日から10か月以内」である。期限を過ぎると延滞税や加算税などの負担が生じ得るため、遺産分割協議が長引く可能性も含めて早期に財産・債務・相続人を洗い出し、申告要否（基礎控除の範囲内か）を見極めることが実務上の要点となる。
192,不動産,不動産取得税はどの地方団体に納める税金？,都道府県,市区町村,国,税務署,不動産取得税は不動産を取得した際に課される地方税で、課税主体は都道府県である。固定資産税は市区町村が課税主体となるため混同しやすいが、「取得（取得税）＝都道府県」「保有（固定資産税）＝市区町村」と整理すると理解しやすい。実務では取得の態様（売買・贈与・新築等）や軽減措置の有無も確認ポイントになる。
193,タックスプランニング,住民税（個人住民税）の所得割が課税される所得として一般に正しいのは？,前年の所得に基づき翌年に課税される,当年の所得に当年中に課税される,来年の見込み所得に先に課税される,相続財産に対して課税される税金である,個人住民税は原則として「前年所得」に基づいて計算され、翌年に課税（特別徴収や普通徴収）される。給与が変動しても住民税がすぐには連動しないのは、この「前年課税」の仕組みによる。所得税（当年所得に対する課税）とタイミングが異なるため、転職・退職・育休などで所得が大きく変わる年は、翌年の住民税負担を見込んだ資金繰りを行うことが重要となる。
194,タックスプランニング,生命保険料控除の区分として正しい組合せはどれ？,一般生命保険料・介護医療保険料・個人年金保険料,一般生命保険料・火災保険料・自動車保険料,医療保険料・学資保険料・損害保険料,生命保険料・地震保険料・所得補償保険料,生命保険料控除は大きく「一般生命保険料」「介護医療保険料」「個人年金保険料」の3区分に整理される。どの契約がどの区分に入るかで控除の取り扱いが異なるため、年末調整や確定申告では保険会社から届く控除証明書の区分表示を確認するのが確実である。損害保険（火災・自動車等）は原則として生命保険料控除の対象外で、別枠（地震保険料控除など）として扱われる。
195,ライフプランニング,国民年金の第1号被保険者に該当する人として正しいのは？,自営業者や学生など（会社員でない人が中心）,会社員（厚生年金の加入者）,会社員に扶養されている配偶者,公務員のみ,国民年金は被保険者を第1号?第3号に区分する。第1号は自営業者・学生・無職など、会社員や公務員（厚生年金加入者）ではない人が中心となる。第2号は会社員・公務員など厚生年金の加入者、第3号は第2号に扶養される配偶者である。区分によって保険料の納め方や手続が異なるため、就職・退職・結婚などのライフイベント時に切替漏れを防ぐことが重要となる。
196,ライフプランニング,キャッシュフロー表の説明として最も適切なのは？,将来の収入・支出・貯蓄残高の推移を時系列で示す表,家計の支出を科目別に分類するだけの表,保険商品の保障内容だけを比較する表,投資信託の基準価額の推移だけを示す表,キャッシュフロー表は、ライフイベント（教育費、住宅取得、退職など）を踏まえて、将来の収入・支出・貯蓄残高（金融資産残高）の推移を年次などで見える化するための表である。家計簿のような科目分類だけではなく、「将来の資金不足がいつ起きそうか」「どの程度の余裕資金が見込めるか」を把握し、貯蓄・保険・運用・住宅ローンなどの方針を整合させるために用いる点が特徴である。
197,リスク管理,個人賠償責任保険で補償される内容として一般に正しいのは？,日常生活で他人にケガをさせたり他人の物を壊したりした賠償責任,自分の病気やけがの治療費,自分の車の修理費,地震で自宅が倒壊した損害,個人賠償責任保険は、日常生活における偶然な事故により第三者に損害を与え、法律上の賠償責任を負った場合に、その賠償金や関連費用を補償する。例えば自転車事故、子どもが他人の物を壊した、飼い犬が他人に噛みついた等が典型例である。自分自身の医療費は医療保険、車両の損害は自動車保険、地震による建物損害は地震保険など、補償領域が異なる点を押さえることが重要となる。
198,リスク管理,定期保険の特徴として正しいのは？,一定期間のみ保障し満了まで生存すれば保険金は原則受け取らない,一生涯保障が続き解約返戻金が必ず大きい,貯蓄性が高く満期金が必ず支払われる,入院費用だけを補償する保険である,定期保険は「一定期間の死亡保障」を提供する保険で、保障期間中に死亡等があれば保険金が支払われる一方、満了まで生存すれば原則として保険金は受け取らない（掛捨てのイメージ）。その分、同程度の保障額で比較すると保険料が抑えられやすく、子育て期など一定期間に大きな保障が必要な場合に活用される。終身保険や養老保険などの貯蓄性商品とは目的が異なる。
199,不動産,住宅ローンに付帯する団体信用生命保険（団信）の一般的な役割として正しいのは？,債務者が死亡等した場合に残りの住宅ローンが保険金で返済される,住宅の修繕費が自動的に補償される,金利が必ず引き下げられる,固定資産税が免除される,団体信用生命保険（団信）は、住宅ローンの債務者が死亡または所定の高度障害状態になった場合などに保険金が支払われ、その保険金で残債が弁済される仕組みである。遺族にローン返済負担を残しにくい点が大きな意義となる。一方、住宅の修繕や税金の免除とは別の制度であり、近年はがん保障など特約型もあるため、保障範囲・上乗せ金利・加入条件を整理して選択することが重要となる。
200,金融資産運用,債券価格と利回りの関係として一般に正しいのは？,債券価格が上がると利回りは下がりやすい,債券価格が上がると利回りも上がりやすい,債券価格と利回りは無関係である,利回りは必ず一定で変化しない,債券の利回りは、将来受け取る利息や償還額に対して「いまいくらで買うか（価格）」で決まるため、価格と利回りは逆方向に動きやすい。例えば同じ利息額の債券でも、購入価格が高いほど投資額に対する利息割合は小さくなり、利回りは低下する。市場金利が上がると既発債の魅力が相対的に下がり価格が下落しやすい、といった金利変動リスクの理解にも直結する基本関係である。
201,相続,相続放棄ができる期間として正しいのはどれ？,自己のために相続の開始があったことを知った時から3か月以内,相続開始から10か月以内,相続開始から1年以内,いつでもできる,相続放棄は無制限にできる手続ではなく原則として自己のために相続が開始したことを知った時から3か月以内に家庭裁判所へ申述する必要がある。この期間は一般に熟慮期間と呼ばれ相続財産と相続債務の調査検討を行うための猶予である。期限を過ぎると単純承認したものと扱われる可能性があるため債務が疑われる場合は早期に調査し必要に応じて専門家へ相談することが実務上重要となる。
202,タックスプランニング,配偶者控除の適用要件として一般に正しいのはどれ？,配偶者の合計所得金額が一定以下であることが必要,配偶者が必ず65歳以上であることが必要,配偶者が必ず自営業であることが必要,配偶者が必ず障害者であることが必要,配偶者控除は納税者本人の所得条件と配偶者の合計所得金額が一定以下であることなどの要件を満たす場合に適用される。年収だけで判断すると誤りやすく給与所得者の場合は給与収入から給与所得控除を差し引いた後の合計所得金額で判定する点が重要である。要件を外れると配偶者控除ではなく配偶者特別控除の対象となる場合があるため境界付近では所得見込みの管理が実務上のポイントとなる。
203,ライフプランニング,老齢基礎年金を原則として受給開始できる年齢は？,65歳,60歳,62歳,70歳,老齢基礎年金は原則として65歳から受給開始となる。繰上げ受給や繰下げ受給により開始時期を変更できるが繰上げは減額繰下げは増額となり一度決めると原則として変更できないため慎重な判断が必要である。生活資金の見通し就労予定健康状態などを踏まえ受給開始時期を選択することがライフプラン設計上の重要な論点となる。
204,リスク管理,火災保険で一般に補償対象になりにくいものはどれ？,地震による損害,火災による損害,落雷による損害,風災による損害,火災保険は火災落雷風災などによる損害を補償する設計が一般的だが地震噴火津波に起因する損害は原則として火災保険だけでは補償されない。そのため地震による火災や倒壊などのリスクに備えるには地震保険の付帯が必要となる。補償範囲は契約内容で異なるため免責や特約の有無を確認し自宅の立地リスクに合わせて設計することが重要である。
205,金融資産運用,投資信託の分配金に関する説明として正しいのはどれ？,分配金は運用益だけでなく元本から支払われる場合もある,分配金は必ず運用益のみから支払われる,分配金が多いほど必ず投資成績が良い,分配金が出る投資信託は必ず元本保証である,投資信託の分配金は運用益から支払われる場合もあれば元本の一部を取り崩して支払われる場合もあるため分配金の多寡だけで成績を判断するのは危険である。元本を取り崩す分配は基準価額の下落を伴いやすく長期資産形成では再投資方針も含めた設計が重要となる。分配方針や分配頻度は商品ごとに異なるため目論見書等で確認し目的に合うか判断する必要がある。
206,不動産,借地借家法における普通借家契約の説明として正しいのはどれ？,更新があり得て借主保護が相対的に強い,契約期間満了で必ず終了し更新できない,貸主は理由なくいつでも解約できる,賃料は法律で一律に固定される,普通借家契約は更新が予定され借主の居住安定を重視する仕組みであるため貸主が契約を終了させるには正当事由が求められるなど借主保護が相対的に強い。これに対し定期借家契約は期間満了で終了することを合意する形で更新が原則ない点が大きな違いとなる。契約形態を誤認すると更新や立退きの取り扱いに影響するため契約書面での確認が重要である。
207,相続,遺産分割協議が成立しない場合に遺産分割を進める手続として正しいのは？,家庭裁判所で遺産分割調停や審判を利用する,税務署で必ず決定してもらう,市区町村が強制的に分割する,相続人の多数決だけで強制確定できる,相続人全員の合意が得られない場合は遺産分割協議だけで確定させることはできないため家庭裁判所の遺産分割調停を利用しそれでもまとまらなければ審判により分割内容が定められる流れが一般的である。多数決で強制確定はできず合意形成が基本となる。預貯金の払戻しや不動産名義変更など実務手続にも影響するため早期に相続人確定と資料収集を行い必要に応じて調停手続を検討することが重要となる。
208,タックスプランニング,所得税の確定申告が必要となりやすいケースとして一般に正しいのはどれ？,給与所得者でも給与以外の所得が一定額を超える場合,給与所得者は誰でも必ず毎年確定申告が必要,年末調整を受けた人は絶対に申告できない,住民税だけ払えば所得税申告は不要,給与所得者は年末調整で所得税計算が完結することが多いが給与以外の所得が一定額を超える場合などは確定申告が必要になりやすい。年末調整を受けていても医療費控除や寄附金控除などで還付申告が可能な場合もあり申告が一律に禁止されるわけではない。自分が申告義務に該当するかは所得の種類と金額控除の有無で決まるため収入の内訳を整理して判断することが重要である。
209,リスク管理,傷害保険で一般に補償対象となる事故として適切なのはどれ？,急激かつ偶然な外来の事故によるケガ,病気による入院,妊娠出産に伴う入院,加齢による関節痛の治療,傷害保険は急激偶然外来という要件を満たす事故によるケガを補償対象とするのが基本である。病気や妊娠出産加齢に伴う症状は外来の事故とはいえないため通常は医療保険等の領域となる。事故性の有無や発生状況により支払可否が分かれるため保険金請求ではいつどこでどのように受傷したかを説明できるよう記録を残すことが実務上有用である。
210,金融資産運用,複利運用の説明として正しいのはどれ？,利息や運用益を元本に組み入れてその後の利息も増えていく仕組み,利息は必ず一定額で増えない仕組み,元本が減っていく仕組み,短期では必ず単利より不利になる仕組み,複利運用は得られた利息や運用益を元本に組み入れて再投資し次回以降は増えた元本に対して利息が付くため時間の経過とともに成長が加速しやすい仕組みである。単利は元本部分にのみ利息が付くため長期では複利との差が拡大しやすい。長期の資産形成では運用利回りだけでなく運用期間と再投資の継続が成果に影響するため途中で取り崩すタイミングや手数料も含めて設計することが重要となる。
211,不動産,不動産の登記に関する説明として正しいのはどれ？,登記は第三者に対する権利主張に役立つが登記しなくても当事者間の売買自体は有効,登記をしない売買契約は無効になる,登記をすると必ず税金がゼロになる,登記は役所の内部記録で第三者には一切関係しない,不動産の売買契約は当事者間では合意により成立し登記がなくても契約自体は有効である。一方で登記は所有権などの権利関係を外部に示す仕組みであり第三者に対して自分の権利を主張するうえで重要となる。たとえば同一不動産が二重に譲渡された場合など登記の有無が対抗関係に影響し得るため実務では決済と同時に移転登記を行いリスクを抑えるのが基本である。
212,ライフプランニング,キャッシュフロー表の主な目的として適切なのはどれ？,将来の収支と貯蓄残高の推移を見える化して資金不足の時期を把握する,税額だけを計算して納税額を確定する,保険会社の利益を増やすために作る,投資の短期売買タイミングだけを決める,キャッシュフロー表は家計の将来の収入支出とそれに伴う貯蓄残高の推移を時系列で整理し資金が不足しやすい時期や教育費住宅費老後資金などの大きな支出の影響を把握するために用いる。目的は将来の意思決定を支えることであり住宅取得時期の調整保険の見直し貯蓄ペースの変更など具体策の検討に繋がる。現状の前提が変われば結果も変わるため定期的に更新し複数シナリオで確認することが実務上有効である。
213,相続,遺言書のうち家庭裁判所の検認が不要なものはどれ？,公正証書遺言,自筆証書遺言,秘密証書遺言,口頭の遺言,公正証書遺言は公証人が作成に関与し原本が公証役場に保管されるため改ざんや隠匿のリスクが低く家庭裁判所の検認手続が不要とされる。一方で自筆証書遺言や秘密証書遺言は原則として検認が必要となり相続開始後に手続を踏まないと遺言の執行や名義変更が進めにくい。遺言の種類により作成コストや要件の厳格さ保管方法が異なるため確実性を重視する場合は公正証書遺言が実務で選ばれやすい。
214,金融資産運用,株式投資のリスクに関する説明として正しいのはどれ？,株価変動により元本割れの可能性がある,株式は必ず元本が保証される,株式は預金と同じで利息が確定している,株式は価格が動かないためリスクがない,株式は企業の業績や金利景気為替など多様な要因で価格が変動し売却時の価格によっては投資元本を下回る可能性があるため元本保証ではない。リターンの源泉は値上がり益と配当でありいずれも確実ではない点が重要となる。リスク管理としては分散投資投資期間の確保損失許容度の設定などが基本であり短期の値動きだけで判断せず目的に沿った運用方針を定めることが求められる。
215,タックスプランニング,給与所得控除に関する説明として適切なのはどれ？,給与収入から一定の計算式で差し引かれるみなし必要経費のような控除,給与所得者が申請しないと絶対に使えない特別控除,全ての収入に一律で適用される控除,事業所得にだけ適用される控除,給与所得控除は給与所得者の必要経費に相当するものとして給与収入から一定額を控除して給与所得を計算する仕組みであり個別に領収書を集めて経費計上する方式とは異なる。年末調整や確定申告で給与所得を計算する際に自動的に反映されるため通常は別途の申請手続を要しない。控除額は給与収入に応じた計算となり収入と所得を混同すると判定を誤りやすいため所得控除等と合わせて計算構造を整理することが重要である。
216,リスク管理,生命保険の受取人固有の権利に関する説明として正しいのはどれ？,死亡保険金は原則として受取人固有の財産として扱われる,死亡保険金は必ず相続財産に含まれ遺産分割の対象になる,死亡保険金は必ず国に没収される,死亡保険金は誰が受け取っても税金は一切かからない,死亡保険金は契約で指定された受取人が受け取る権利を持つため原則として受取人固有の財産と整理され遺産分割協議の対象外となるのが基本である。ただし課税関係は契約者被保険者受取人の組合せで相続税贈与税所得税のいずれが適用されるかが変わり得る点に注意が必要である。遺産分割の公平性調整として特別受益等の議論が生じることもあるため契約設計時点で家族の合意形成を図ることが実務上重要となる。
217,不動産,住宅ローンの金利タイプに関する説明として正しいのはどれ？,固定金利は返済期間中の適用金利が原則一定で返済額の見通しを立てやすい,変動金利は返済期間中に金利が一切変わらない,固定金利は必ず変動金利より総返済額が少ない,金利タイプによるリスク差は存在しない,固定金利型は原則として適用金利が一定であるため毎月返済額の見通しが立てやすく金利上昇リスクを取りにくい一方当初金利が相対的に高くなりやすい。変動金利型は市場金利の変動に応じて適用金利が見直されるため金利上昇時には返済負担が増える可能性がある。家計の安定性金利上昇への耐性借入期間などを踏まえリスク許容度に合うタイプを選ぶことが重要となる。
218,ライフプランニング,年金の保険料納付に関する基本的な考え方として適切なのはどれ？,保険料の未納期間があると将来の年金額や受給資格期間に影響する,未納でも将来の年金額はまったく変わらない,納付は任意で支払っても支払わなくても同じ,未納期間があると必ず受給開始年齢が50歳になる,公的年金は原則として保険料納付を通じて給付を受ける社会保険であり未納期間があると将来の年金額が減少し得るほか受給資格期間にも影響しうる。特に受給に必要な期間要件を満たさない場合は老齢年金を受け取れないリスクがあるため注意が必要である。納付が難しい場合でも免除猶予制度や追納など選択肢があり放置よりも制度活用で将来リスクを下げることが重要となる。
219,相続,相続税申告・納付の期限として一般に正しいのはどれ？,被相続人の死亡を知った日の翌日から10か月以内,相続開始を知った日から3か月以内,相続開始から1年以内,いつでもよい,相続税の申告と納付は原則として被相続人の死亡を知った日の翌日から10か月以内に行う。期限内に遺産分割がまとまらない場合でも未分割のまま法定相続分で申告するなどの対応が必要となり期限を過ぎると延滞税や加算税の対象となり得る。相続放棄の熟慮期間とは別制度で期限も異なるため混同しないことが重要であり早期に財産債務の把握評価資料の収集を進めることが実務上の要点となる。
220,金融資産運用,債券投資の金利変動リスクに関する説明として正しいのはどれ？,一般に市場金利が上昇すると既発債券価格は下落しやすい,市場金利が上昇すると既発債券価格は必ず上昇する,金利が変動しても債券価格は絶対に変わらない,債券は株式より必ず価格変動が大きい,債券価格は市場金利と逆方向に動きやすい性質があり一般に市場金利が上昇すると既に発行されている低い利率の債券の相対的魅力が低下するため価格は下落しやすい。残存期間が長いほど価格変動が大きくなる傾向がありこれがデュレーションによる金利感応度の概念に繋がる。途中売却を想定する場合は利回りだけでなく金利変動時の価格リスクも踏まえて期間分散や投資目的の整理が重要となる。
221,タックスプランニング,住民税（個人住民税）に関する説明として正しいのはどれ？,住民税は所得割と均等割から構成される,住民税は国税で税率は全国一律である,住民税は消費税と同じく購入時に課税される,住民税は法人だけが支払う税金である,個人住民税は一般に「所得割」と「均等割」で構成される。所得割は前年の所得金額等を基礎に計算される税であり均等割は所得の多寡にかかわらず一定額が課される仕組みである。課税主体は都道府県・市町村であるため国税ではなく地方税に分類される。給与所得者は特別徴収（給与天引き）となることが多く前年所得に基づくため「今年の収入が減ったのに住民税が高い」と感じる要因にもなる。
222,リスク管理,損害保険の「免責金額」に関する説明として正しいのはどれ？,損害が発生したとき保険会社が支払わない自己負担額のこと,保険料を必ず半額にする制度のこと,事故が起きたら必ず全額補償される仕組みのこと,保険金を受け取るために必要な年齢条件のこと,免責金額は保険事故による損害が生じた場合に被保険者が自己負担する金額を指し保険金は通常「損害額?免責金額」で計算される。免責金額を設定すると小さな損害は自分で負担する代わりに保険料を抑えやすい一方で頻度の高い小損害には効果が薄くなる。契約時には「免責方式（一定額控除型など）」の形も確認し家計の負担可能額や事故頻度を踏まえて設計することが実務上重要である。
223,金融資産運用,投資信託の「分配金」に関する説明として正しいのはどれ？,分配金は投資信託の運用成果等から投資家に支払われ基準価額はその分だけ下がることがある,分配金が出る投資信託は必ず元本が増える,分配金は必ず利息として固定で支払われる,分配金はどの投資信託でも毎月必ず同額が出る,投資信託の分配金はファンドの運用状況や決算方針により支払われるが分配金が支払われるとその相当額だけ基準価額が下落するのが一般的であり「分配金＝利益の確定」とは限らない。分配金の原資が運用益だけでなく元本の一部取り崩し（特別分配金）となるケースもあるため分配金額の大小だけで良否を判断すると誤る。トータルリターン（分配金＋基準価額変動）で評価し再投資の有無や目的（取り崩し・長期形成）に合わせて商品を選ぶことが重要である。
224,相続,相続放棄の基本的な効果として正しいのはどれ？,相続放棄をすると最初から相続人でなかったものとみなされる,相続放棄をしても借金だけは必ず引き継ぐ,相続放棄は口頭で家族に伝えれば成立する,相続放棄をすると他の相続人の相続分が必ず減る,相続放棄は家庭裁判所への申述により行い受理されると「初めから相続人でなかった」ものと扱われるためプラスの財産だけでなく借金などのマイナス財産も原則として承継しない。単に家族内で放棄意思を示すだけでは法的効果は生じない点が重要である。放棄があると次順位の相続人に相続権が移るなど相続関係が変動するため関係者間での情報共有と期限管理（熟慮期間）を徹底し財産調査のうえで判断することが実務上の要点となる。
